#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
47030,45900,4328,39672,8200,14300,32057,10578,46000,11400,53053,24100,26654,32464,32567,21477,6955,114277,100823,13637
74993,27893,5169,43831,13100,49156,93754,-23390,86000,15600,86447,62300,39587,50354,54263,2367,15484,217638,125193,-55755
734672,512727,45654,389356,97100,668469,533040,-36192,284000,-13900,195585,681812,154113,263771,175979,3485,82200,616540,525121,3967
1025073,769114,68957,481271,94900,421618,383265,108302,514400,29700,256995,557797,199545,369222,210246,77313,114430,603059,445333,263361
404277,346928,34505,201877,20700,177112,131731,39345,268100,24200,74779,146996,71851,109643,99161,103945,35379,290008,278876,305819
178127,156607,13475,89395,7700,66634,54700,18647,116600,8500,47807,47218,48125,48787,55609,73387,17885,97949,131404,97941
106418,67458,8455,46783,3300,23757,28179,2510,57000,3800,30900,26918,24563,31699,27535,-2545,7307,42937,39624,43929
83106,59996,9047,37953,4600,32514,30562,1145,48000,2800,16808,23800,13690,25561,26209,8633,3425,36695,33270,37182
67752,50566,5833,33167,6200,37761,23553,16330,41000,4500,5668,25500,24320,39417,28980,29550,3865,40238,43662,68505
50766,52778,4056,26944,2200,23940,20887,5294,30000,700,12921,27000,1050,32689,22131,-7496,3212,24193,38807,32500
49619,52413,3564,25436,3500,32062,16911,5159,27000,600,26267,23600,5080,33345,15402,-4797,3247,22565,42435,30663
38960,46148,3417,20583,3700,31883,20381,9386,25000,2700,36964,27700,19630,45366,22292,-7623,4890,31592,55008,18658
76953,53268,4389,30611,5500,49351,49438,9858,67000,27000,48806,97100,70140,57614,50053,54645,8791,108390,61910,12859
103032,28425,4884,57116,15100,55435,100264,-19830,115000,22300,99151,148700,16210,44898,53745,-41880,16468,125888,39177,-53845
639542,357938,32123,252887,63600,337800,399114,-50654,276500,-16200,259368,568271,146580,230404,153818,11685,69700,327051,179280,-58698
1176384,821074,80972,508956,103200,437846,455023,128641,751500,54000,310408,699668,253030,500856,247600,149471,135861,510648,363248,778845
372525,314799,39730,200152,22800,150731,143614,30612,205600,21800,100780,137223,100900,144722,102017,93161,39546,224425,235067,169185
194316,151782,15651,106019,9800,103492,76931,21501,104200,7000,66664,45166,95350,46668,62458,58541,17036,220942,259585,309469
125361,90883,10233,64205,5400,62435,62164,9397,58600,4300,34774,25374,49430,37394,41544,18149,7385,78596,102635,64956
75505,58125,7974,37226,5400,32691,36487,-1817,46000,1700,24327,19249,18250,21510,26050,518,2709,24005,41695,10764
63162,57518,5270,32730,4500,34612,24864,8125,39000,4800,20306,17700,11960,24506,22104,7201,2069,22445,24055,-9138
65286,62141,3643,25357,1700,44281,15410,9959,34000,2800,11289,20200,770,38495,23542,8195,3450,20316,30584,32073
50157,50986,3360,23640,3700,30393,11929,4813,29000,1700,24343,18400,1310,26016,14036,-4567,2794,26433,18667,14327
46971,37657,3314,21686,3800,22453,10960,3231,25000,2700,34772,21300,11940,29748,19958,-6226,4076,24751,50249,70587
75605,56297,4203,30797,5500,33761,40139,12080,74000,37000,67185,46700,55360,36996,45796,33459,9781,82785,58015,101806
